"score_id"	"hgnc_symbol"	"grouping_id"	"study_id"	"description"	"ensembl_gene_id"	"ensembl_version"
"b_cell__activation"	"CD40LG"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000102245"	99
"b_cell__activation"	"CD79A"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000105369"	99
"b_cell__activation"	"CEBPG"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000153879"	99
"b_cell__activation"	"HDAC4"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000068024"	99
"b_cell__activation"	"HDAC5"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000108840"	99
"b_cell__activation"	"HDAC7"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000061273"	99
"b_cell__activation"	"HDAC9"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000048052"	99
"b_cell__activation"	"IL4"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000113520"	99
"b_cell__activation"	"IL7"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000104432"	99
"b_cell__activation"	"INHA"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000123999"	99
"b_cell__activation"	"INHBA"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000122641"	99
"b_cell__activation"	"LAT2"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000086730"	99
"b_cell__activation"	"LAX1"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000122188"	99
"b_cell__activation"	"NFAM1"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000235568"	99
"b_cell__activation"	"NHEJ1"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000187736"	99
"b_cell__activation"	"PTPRC"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000081237"	99
"b_cell__activation"	"SLA2"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000101082"	99
"b_cell__activation"	"TGFB1"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000105329"	99
"b_cell__activation"	"TNFSF13"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000161955"	99
"b_cell__activation"	"TPD52"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000076554"	99
"b_cell__differentiation"	"CD79A"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000105369"	99
"b_cell__differentiation"	"CEBPG"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000153879"	99
"b_cell__differentiation"	"HDAC4"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000068024"	99
"b_cell__differentiation"	"HDAC5"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000108840"	99
"b_cell__differentiation"	"HDAC7"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000061273"	99
"b_cell__differentiation"	"HDAC9"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000048052"	99
"b_cell__differentiation"	"IL4"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000113520"	99
"b_cell__differentiation"	"INHA"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000123999"	99
"b_cell__differentiation"	"INHBA"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000122641"	99
"b_cell__differentiation"	"NFAM1"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000235568"	99
"b_cell__differentiation"	"NHEJ1"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000187736"	99
"b_cell__differentiation"	"TPD52"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000076554"	99
"t_cell__coinhibition_signature"	"BTLA"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000186265"	99
"t_cell__coinhibition_signature"	"CD160"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000117281"	99
"t_cell__coinhibition_signature"	"CD200"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000091972"	99
"t_cell__coinhibition_signature"	"CD244"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000122223"	99
"t_cell__coinhibition_signature"	"CD274"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000120217"	99
"t_cell__coinhibition_signature"	"CEACAM1"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000079385"	99
"t_cell__coinhibition_signature"	"CTLA4"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000163599"	99
"t_cell__coinhibition_signature"	"GP49A"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	""	99
"t_cell__coinhibition_signature"	"HAVCR2"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000135077"	99
"t_cell__coinhibition_signature"	"KLRA3"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	""	99
"t_cell__coinhibition_signature"	"KLRA7"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	""	99
"t_cell__coinhibition_signature"	"KLRA9"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	""	99
"t_cell__coinhibition_signature"	"KLRC1"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000134545"	99
"t_cell__coinhibition_signature"	"KLRD1"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000134539"	99
"t_cell__coinhibition_signature"	"LAG3"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000089692"	99
"t_cell__coinhibition_signature"	"LAIR1"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000167613"	99
"t_cell__coinhibition_signature"	"LILRB4"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000186818"	99
"t_cell__coinhibition_signature"	"PDCD1"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000188389"	99
"t_cell__coinhibition_signature"	"PDPN"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000162493"	99
"t_cell__coinhibition_signature"	"PILRA"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000085514"	99
"t_cell__coinhibition_signature"	"PROCR"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000101000"	99
"t_cell__coinhibition_signature"	"PTGER4"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000171522"	99
"t_cell__coinhibition_signature"	"SIRPB1"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000101307"	99
"t_cell__coinhibition_signature"	"TIGIT"	"coinhibition_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000181847"	99
"t_cell__costimulation_signature"	"CD226"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000150637"	99
"t_cell__costimulation_signature"	"CD27"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000139193"	99
"t_cell__costimulation_signature"	"CD276"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000103855"	99
"t_cell__costimulation_signature"	"CD28"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000178562"	99
"t_cell__costimulation_signature"	"CD40LG"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000102245"	99
"t_cell__costimulation_signature"	"CD80"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000121594"	99
"t_cell__costimulation_signature"	"CD86"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000114013"	99
"t_cell__costimulation_signature"	"ICOS"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000163600"	99
"t_cell__costimulation_signature"	"TNFRSF18"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000186891"	99
"t_cell__costimulation_signature"	"TNFRSF4"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000186827"	99
"t_cell__costimulation_signature"	"TNFRSF9"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000049249"	99
"t_cell__costimulation_signature"	"TNFSF11"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000120659"	99
"t_cell__costimulation_signature"	"TNFSF14"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000125735"	99
"t_cell__costimulation_signature"	"TNFSF4"	"costimulation_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000117586"	99
"t_cell__cytotoxicity_signature"	"GNLY"	"cytotoxicity_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000115523"	99
"t_cell__cytotoxicity_signature"	"GZMB"	"cytotoxicity_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000100453"	99
"t_cell__cytotoxicity_signature"	"GZMK"	"cytotoxicity_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000113088"	99
"t_cell__cytotoxicity_signature"	"IFNG"	"cytotoxicity_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000111537"	99
"t_cell__cytotoxicity_signature"	"NKG7"	"cytotoxicity_signature"	"SmillieCS-31348891"	"T cell signatures used in SmillieCS-31348891"	"ENSG00000105374"	99
"t_cell__cd8_cytotoxic"	"AOAH"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000136250"	99
"t_cell__cd8_cytotoxic"	"CCL3"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000277632"	99
"t_cell__cd8_cytotoxic"	"CCL3L3"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000276085"	99
"t_cell__cd8_cytotoxic"	"CCL4"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000275302"	99
"t_cell__cd8_cytotoxic"	"CCL4L2"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000276070"	99
"t_cell__cd8_cytotoxic"	"CCL5"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000271503"	99
"t_cell__cd8_cytotoxic"	"CD160"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000117281"	99
"t_cell__cd8_cytotoxic"	"CD8A"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000153563"	99
"t_cell__cd8_cytotoxic"	"CD8B"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000172116"	99
"t_cell__cd8_cytotoxic"	"CLIC3"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000169583"	99
"t_cell__cd8_cytotoxic"	"CMC1"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000187118"	99
"t_cell__cd8_cytotoxic"	"CTSW"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000172543"	99
"t_cell__cd8_cytotoxic"	"DHRS3"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000162496"	99
"t_cell__cd8_cytotoxic"	"DTHD1"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000197057"	99
"t_cell__cd8_cytotoxic"	"EOMES"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000163508"	99
"t_cell__cd8_cytotoxic"	"FCER1G"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000158869"	99
"t_cell__cd8_cytotoxic"	"FGR"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000000938"	99
"t_cell__cd8_cytotoxic"	"GFOD1"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000145990"	99
"t_cell__cd8_cytotoxic"	"GNLY"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000115523"	99
"t_cell__cd8_cytotoxic"	"GZMA"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000145649"	99
"t_cell__cd8_cytotoxic"	"GZMB"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000100453"	99
"t_cell__cd8_cytotoxic"	"IFITM3"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000142089"	99
"t_cell__cd8_cytotoxic"	"IL2RB"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000100385"	99
"t_cell__cd8_cytotoxic"	"KLRC1"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000134545"	99
"t_cell__cd8_cytotoxic"	"KLRC2"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000205809"	99
"t_cell__cd8_cytotoxic"	"KLRD1"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000134539"	99
"t_cell__cd8_cytotoxic"	"KLRF1"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000150045"	99
"t_cell__cd8_cytotoxic"	"MAPK1"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000100030"	99
"t_cell__cd8_cytotoxic"	"MATK"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000007264"	99
"t_cell__cd8_cytotoxic"	"MCTP2"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000140563"	99
"t_cell__cd8_cytotoxic"	"NKG7"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000105374"	99
"t_cell__cd8_cytotoxic"	"PRF1"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000180644"	99
"t_cell__cd8_cytotoxic"	"PTGDR"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000168229"	99
"t_cell__cd8_cytotoxic"	"XCL1"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000143184"	99
"t_cell__cd8_cytotoxic"	"XCL2"	"CD8_cytotoxic"	"MartinJC-31474370"	"T cell module: CD8/cytotoxic"	"ENSG00000143185"	99
"t_cell__cell_cycling"	"ASF1B"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000105011"	99
"t_cell__cell_cycling"	"ASPM"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000066279"	99
"t_cell__cell_cycling"	"AURKB"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000178999"	99
"t_cell__cell_cycling"	"BIRC5"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000089685"	99
"t_cell__cell_cycling"	"CCDC34"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000109881"	99
"t_cell__cell_cycling"	"CCNA2"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000145386"	99
"t_cell__cell_cycling"	"CCNB1"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000134057"	99
"t_cell__cell_cycling"	"CCNB2"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000157456"	99
"t_cell__cell_cycling"	"CDC25B"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000101224"	99
"t_cell__cell_cycling"	"CDCA5"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000146670"	99
"t_cell__cell_cycling"	"CDK1"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000170312"	99
"t_cell__cell_cycling"	"CDKN3"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000100526"	99
"t_cell__cell_cycling"	"CDT1"	"cell_cycling"	"MartinJC-31474370"	"T cell module: cell cycling"	"ENSG00000167513"	99
